id,key,value,type
16315195,maxspeed,50,regular
16315195,conditional,60 @ (23:00-05:00),maxspeed
16315195,name,Tadeusza Zielińskiego,regular
16315195,de,Höfchenstraße,old_name
16315195,maxspeed,PL:urban,source
16315195,surface,sett,regular
16584738,highway,secondary,regular
16584738,lanes,3,regular
16584738,maxspeed,50,regular
16584738,conditional,60 @ (23:00-05:00),maxspeed
16584738,name,Grabiszyńska,regular
16584738,oneway,yes,regular
16584738,maxspeed,PL:urban,source
16584738,surface,asphalt,regular
16584738,lanes,left|through|through,turn
16584742,highway,tertiary,regular
16584742,lanes,1,regular
16584742,maxspeed,50,regular
16584742,name,Grodzka,regular
16584742,de,Burgstraße,name
16584742,pl,Grodzka,name
16584742,oneway,yes,regular
16584742,maxspeed,PL:urban,source
16584742,surface,asphalt,regular
16584743,highway,secondary,regular
16584743,lanes,2,regular
16584743,maxspeed,50,regular
16584743,conditional,60 @ (23:00-05:00),maxspeed
16584743,name,Pomorska,regular
16584743,oneway,yes,regular
16584743,maxspeed,PL:urban,source
16584743,surface,asphalt,regular
16584744,highway,tertiary,regular
16584744,lanes,1,regular
16584744,maxspeed,50,regular
16584744,conditional,60 @ (23:00-05:00),maxspeed
16584744,name,Nowy Świat,regular
16584744,oneway,yes,regular
16584744,maxspeed,PL:urban,source
16584744,surface,asphalt,regular
16584745,highway,tertiary,regular
16584745,lanes,4,regular
16584745,maxspeed,50,regular
16584745,conditional,60 @ (23:00-05:00),maxspeed
16584745,name,Pomorska,regular
16584745,maxspeed,PL:urban,source
16584745,surface,sett,regular
16584746,highway,tertiary,regular
16584746,lanes,2,regular
16584746,maxspeed,50,regular
16584746,conditional,60 @ (23:00-05:00),maxspeed
16584746,name,Pomorska,regular
16584746,oneway,yes,regular
16584746,maxspeed,PL:urban,source
16584746,surface,asphalt,regular
16584747,lanes,no|no|designated,bicycle
16584747,right,lane,cycleway
16584747,highway,secondary,regular
16584747,lanes,2,regular
16584747,maxspeed,50,regular
16584747,conditional,60 @ (23:00-05:00),maxspeed
16584747,name,Podwale,regular
16584747,oneway,yes,regular
16584747,source,Ortofotomapa_Wroclaw,regular
16584747,maxspeed,PL:urban,source
16584747,surface,asphalt,regular
16584747,lanes,through|through|through,turn
16584747,lanes,yes|yes|no,vehicle
16584748,highway,secondary,regular
16584748,lanes,2,regular
16584748,maxspeed,50,regular
16584748,conditional,60 @ (23:00-05:00),maxspeed
16584748,name,Stanisława Dubois,regular
16584748,oneway,yes,regular
16584748,maxspeed,PL:urban,source
16584748,surface,asphalt,regular
16584749,highway,tertiary,regular
16584749,lanes,1,regular
16584749,maxspeed,50,regular
16584749,name,Grodzka,regular
16584749,de,Burgstraße,name
16584749,pl,Grodzka,name
16584749,oneway,yes,regular
16584749,maxspeed,PL:urban,source
16584749,surface,asphalt,regular
16584750,highway,residential,regular
16584750,lanes,2,regular
16584750,maxspeed,30,regular
16584750,name,Wojciecha Cybulskiego,regular
16584751,highway,tertiary,regular
16584751,lanes,2,regular
16584751,maxspeed,50,regular
16584751,conditional,60 @ (23:00-05:00),maxspeed
16584751,name,Stanisława Dubois,regular
16584751,oneway,yes,regular
16584751,maxspeed,PL:urban,source
16584751,surface,asphalt,regular
16584751,lanes,through|through;right,turn
16584752,highway,secondary,regular
16584752,lanes,1,regular
16584752,maxspeed,50,regular
16584752,conditional,60 @ (23:00-05:00),maxspeed
16584752,name,Stanisława Dubois,regular
16584752,oneway,yes,regular
16584752,maxspeed,PL:urban,source
16584752,surface,asphalt,regular
16584752,lanes,right,turn
16584753,highway,secondary,regular
16584753,lanes,2,regular
16584753,maxspeed,50,regular
16584753,conditional,60 @ (23:00-05:00),maxspeed
16584753,name,Stanisława Dubois,regular
16584753,oneway,yes,regular
16584753,maxspeed,PL:urban,source
16584753,surface,asphalt,regular
16584756,highway,tertiary,regular
16584756,maxspeed,50,regular
16584756,conditional,60 @ (23:00-05:00),maxspeed
16584756,name,Władysława Jagiełły,regular
16584756,oneway,yes,regular
16584756,maxspeed,PL:urban,source
16584756,surface,asphalt,regular
16584757,highway,secondary,regular
16584757,lanes,1,regular
16584757,maxspeed,50,regular
16584757,conditional,60 @ (23:00-05:00),maxspeed
16584757,name,Podwale,regular
16584757,oneway,yes,regular
16584757,maxspeed,PL:urban,source
16584757,surface,asphalt,regular
16584758,highway,service,regular
16584758,maxspeed,50,regular
16584758,conditional,60 @ (23:00-05:00),maxspeed
16584758,name,Władysława Jagiełły,regular
16584758,oneway,yes,regular
16584758,maxspeed,PL:urban,source
16584758,surface,asphalt,regular
16584759,highway,tertiary,regular
16584759,lanes,2,regular
16584759,maxspeed,50,regular
