id,user,uid,version,changeset,timestamp
22728198,rowers2,2445224,20,51219072,2017-08-18T00:43:47Z
22728199,rowers2,2445224,16,50226790,2017-07-12T10:58:38Z
22728200,LafarM,478109,20,54601819,2017-12-13T16:50:15Z
22728231,wmyrda,1980824,13,51404903,2017-08-24T12:04:03Z
22728492,rowers2,2445224,12,50199300,2017-07-11T11:24:41Z
22728493,rowers2,2445224,8,50199300,2017-07-11T11:24:41Z
22728494,wmyrda,1980824,10,51404903,2017-08-24T12:04:03Z
22728497,rowers2,2445224,10,45324819,2017-01-20T11:45:31Z
22728832,rowers2,2445224,8,49964003,2017-07-01T12:32:34Z
22728833,jaarek,1458138,16,48585566,2017-05-11T09:09:43Z
22728835,rowers2,2445224,6,49964003,2017-07-01T12:32:34Z
22728836,rowers2,2445224,11,49964003,2017-07-01T12:32:34Z
22728837,rowers2,2445224,12,49964003,2017-07-01T12:32:35Z
22728839,rowers2,2445224,8,49964003,2017-07-01T12:32:35Z
22728840,rowers2,2445224,6,45262033,2017-01-18T05:55:45Z
22728841,rowers2,2445224,14,49964003,2017-07-01T12:32:35Z
22728842,maraf24,2098272,13,44292404,2016-12-09T21:07:15Z
22734250,rowers2,2445224,14,50585330,2017-07-26T11:14:41Z
22734255,rowers2,2445224,19,51868613,2017-09-09T03:22:40Z
22734257,rowers2,2445224,7,50667679,2017-07-29T09:24:57Z
22734258,rowers2,2445224,5,50356611,2017-07-17T16:30:59Z
22734798,rowers2,2445224,12,50134294,2017-07-08T16:00:19Z
22734826,rowers2,2445224,18,50134320,2017-07-08T16:01:25Z
22734955,rowers2,2445224,15,50816093,2017-08-03T18:14:52Z
22734956,rowers2,2445224,13,50815237,2017-08-03T17:35:36Z
22734957,rowers2,2445224,7,50815237,2017-08-03T17:35:36Z
22736560,sznik,413484,21,46968932,2017-03-18T23:35:05Z
22736561,rowers2,2445224,17,50134760,2017-07-08T16:22:44Z
22736573,rowers2,2445224,15,50134760,2017-07-08T16:22:44Z
22736575,rowers2,2445224,13,50427981,2017-07-20T09:58:17Z
22736576,rowers2,2445224,12,50133296,2017-07-08T15:07:29Z
22747235,rowers2,2445224,5,49910180,2017-06-29T07:56:10Z
22747236,maraf24,2098272,6,35907465,2015-12-12T11:53:14Z
22747238,JaZ99,450446,10,51505066,2017-08-28T11:04:26Z
22747239,ridixcr,2508151,4,40697742,2016-07-12T20:16:46Z
22747280,rowers2,2445224,5,49910180,2017-06-29T07:56:10Z
22747281,rowers2,2445224,5,49910180,2017-06-29T07:56:10Z
22747282,rowers2,2445224,4,49910180,2017-06-29T07:56:10Z
22747283,rowers2,2445224,5,49910180,2017-06-29T07:56:10Z
22757432,wmyrda,1980824,25,51404903,2017-08-24T12:04:03Z
22757433,rowers2,2445224,14,50890729,2017-08-06T17:10:10Z
22757435,Olga | Yanosik,2844322,10,37430426,2016-02-25T09:03:04Z
22766301,rowers2,2445224,13,50696251,2017-07-30T15:26:25Z
22766302,rowers2,2445224,12,50695656,2017-07-30T14:55:11Z
22766303,rowers2,2445224,12,51180355,2017-08-16T16:26:58Z
22766304,maraf24,2098272,21,54816493,2017-12-21T14:34:37Z
22766352,rowers2,2445224,9,50568766,2017-07-25T19:56:57Z
22769129,rowers2,2445224,10,50134229,2017-07-08T15:57:54Z
22769130,wmyrda,1980824,18,51404903,2017-08-24T12:04:03Z
22769136,wmyrda,1980824,12,51404903,2017-08-24T12:04:04Z
22788983,maraf24,2098272,10,51628385,2017-08-31T21:22:32Z
22788984,rowers2,2445224,11,50666914,2017-07-29T08:45:53Z
22788985,rowers2,2445224,10,50681705,2017-07-29T22:23:22Z
22788986,rowers2,2445224,14,50677729,2017-07-29T18:20:36Z
22869906,wmyrda,1980824,14,51400854,2017-08-24T09:35:12Z
22869907,wmyrda,1980824,15,51400854,2017-08-24T09:35:12Z
22869910,rmikke,69607,13,48658589,2017-05-13T20:17:59Z
22879751,wmyrda,1980824,19,51404903,2017-08-24T12:04:04Z
22879752,rowers2,2445224,13,50394503,2017-07-19T04:23:38Z
22879754,Dotevo,476764,10,47627695,2017-04-10T15:33:40Z
22879755,rowers2,2445224,15,50198465,2017-07-11T10:44:35Z
22879757,wmyrda,1980824,22,51404903,2017-08-24T12:04:05Z
22879758,rowers2,2445224,18,50075429,2017-07-06T06:19:37Z
22879760,wmyrda,1980824,15,51404903,2017-08-24T12:04:05Z
22879761,rowers2,2445224,5,50416338,2017-07-19T20:27:12Z
22879762,Karol Stosiek,457054,2,8291503,2011-05-30T12:12:53Z
22949484,rowers2,2445224,12,50133322,2017-07-08T15:08:52Z
23022461,rowers2,2445224,15,51088301,2017-08-13T17:36:49Z
23038037,rowers2,2445224,20,49958115,2017-07-01T05:00:08Z
23038045,rowers2,2445224,21,50134320,2017-07-08T16:01:25Z
23255452,rowers2,2445224,9,51248013,2017-08-19T05:54:09Z
23265550,rowers2,2445224,16,50664761,2017-07-29T06:51:45Z
23283446,rowers2,2445224,10,50816093,2017-08-03T18:14:52Z
